CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
2/1/2020,11:08:00,6C,3900 W BELVEDERE AVE,LARCENY,Inside,NA,633,NORTHWEST,LANGSTON HUGHES,-76.68183644,39.34455224,RETAIL/SMALL BUSINES,1
2/1/2020,1:45:00,5E,3600 W CATON AVE,BURGLARY,Inside,NA,824,SOUTHWEST,ALLENDALE,-76.67671397,39.28830103,RETAIL/SMALL BUSINES,1
2/1/2020,4:45:00,7C,1300 BETHLEHEM AVE,AUTO THEFT,Outside,NA,234,SOUTHEAST,GRACELAND PARK,-76.53086836,39.28002758,YARD,1
2/1/2020,18:45:00,6G,3300 EASTERN AVE,LARCENY,Inside,NA,225,SOUTHEAST,HUDSON-HIGHLANDTOWN,-76.56957593,39.28660835,OFFICE BUILDING,1
2/1/2020,20:50:00,6G,0 W 20TH ST,LARCENY,Inside,NA,514,NORTHERN,CHARLES NORTH,-76.61738466,39.31226651,RESTAURANT,1
2/1/2020,20:53:00,6D,1700 HARFORD AVE,LARCENY FROM AUTO,,NA,314,EASTERN,OLIVER,-76.60018826,39.30975625,,1
2/1/2020,20:20:00,4E,3600 REISTERSTOWN RD,COMMON ASSAULT,Inside,NA,612,NORTHWEST,PARK CIRCLE,-76.66069121,39.32956463,ROW/TOWNHOUSE-OCC,1
2/1/2020,22:55:00,4B,1500 E 36TH ST,AGG. ASSAULT,Inside,KNIFE,412,NORTHEAST,EDNOR GARDENS-LAKESI,-76.59220042,39.33315621,ROW/TOWNHOUSE-OCC,1
2/1/2020,9:03:00,4E,1200 N WOODINGTON RD,COMMON ASSAULT,Outside,NA,821,SOUTHWEST,EDMONDSON VILLAGE,-76.686699,39.30105491,STREET,1
2/1/2020,1:00:00,4E,2000 FLEET ST,COMMON ASSAULT,Outside,NA,213,SOUTHEAST,FELLS POINT,-76.58740897,39.28487849,PARKING LOT-OUTSIDE,1
2/1/2020,14:30:00,6C,4600 LIBERTY HEIGHTS AVE,LARCENY,Inside,NA,622,NORTHWEST,HOWARD PARK,-76.6943421,39.33086397,OTHER - INSIDE,1
2/1/2020,2:38:00,5E,700 LINNARD ST,BURGLARY,Inside,NA,815,SOUTHWEST,EDMONDSON VILLAGE,-76.67651065,39.29536143,CONVENIENCE STORE,1
2/1/2020,10:45:00,6G,900 DESOTO RD,LARCENY,Inside,NA,832,SOUTHWEST,MORRELL PARK,-76.66817123,39.27480563,APT/CONDO - OCCUPIED,1
2/1/2020,10:45:00,6G,900 DESOTO RD,LARCENY,Inside,NA,832,SOUTHWEST,MORRELL PARK,-76.66817123,39.27480563,APT/CONDO - OCCUPIED,1
2/1/2020,11:25:00,7A,1200 WASHINGTON BLVD,AUTO THEFT,Outside,NA,932,SOUTHERN,WASHINGTON VILLAGE,-76.63464,39.28116123,STREET,1
2/1/2020,13:38:00,4D,500 N FULTON AVE,AGG. ASSAULT,Inside,HANDS,722,WESTERN,HARLEM PARK,-76.6455034,39.29479601,ROW/TOWNHOUSE-OCC,1
2/1/2020,2:10:00,3AK,0 S JANNEY ST,ROBBERY - STREET,Outside,KNIFE,232,SOUTHEAST,KRESSON,-76.5608334,39.29207037,STREET,1
2/1/2020,10:45:00,4E,900 DESOTO RD,COMMON ASSAULT,Inside,NA,832,SOUTHWEST,MORRELL PARK,-76.66817123,39.27480563,APT/CONDO - OCCUPIED,1
2/1/2020,10:45:00,4E,900 DESOTO RD,COMMON ASSAULT,Inside,NA,832,SOUTHWEST,MORRELL PARK,-76.66817123,39.27480563,APT/CONDO - OCCUPIED,1
2/1/2020,18:00:00,6E,500 N FRANKLINTOWN RD,LARCENY,Outside,NA,835,SOUTHWEST,PENROSE/FAYETTE ST OUTREACH,-76.66279493,39.29361784,STREET,1
2/1/2020,16:00:00,6J,700 W HAMBURG ST,LARCENY,Outside,NA,932,SOUTHERN,WASHINGTON VILLAGE,-76.62823453,39.28079247,OTHER - OUTSIDE,1
2/1/2020,20:00:00,7A,400 MILLINGTON AVE,AUTO THEFT,Outside,NA,834,SOUTHWEST,MILL HILL,-76.6566057,39.28030823,STREET,1
2/1/2020,16:00:00,6E,1500 E BELVEDERE AVE,LARCENY,Outside,NA,415,NORTHEAST,LOCH RAVEN,-76.5866581,39.35927795,OTHER - OUTSIDE,1
2/1/2020,12:00:00,6E,4100 GLENARM AVE,LARCENY,Outside,NA,425,NORTHEAST,GLENHAM-BELFORD,-76.54186623,39.34591702,STREET,1
2/1/2020,15:30:00,6E,6600 FAIRDEL AVE,LARCENY,Outside,NA,425,NORTHEAST,ROSEMONT AVENUE,-76.5400667,39.35704195,DRIVEWAY,1
2/1/2020,1:56:00,3JK,1800 BRADDISH AVE,ROBBERY - RESIDENCE,Inside,KNIFE,723,WESTERN,COPPIN HEIGHTS/ASHBU,-76.66108147,39.3085418,ROW/TOWNHOUSE-OCC,1
2/1/2020,12:00:00,7A,6800 HARFORD RD,AUTO THEFT,Inside,NA,424,NORTHEAST,WOODRING,-76.54982959,39.36563726,ROW/TOWNHOUSE-OCC,1
2/1/2020,2:47:00,6G,1000 ORLEANS ST,LARCENY,Inside,NA,211,EASTERN,PLEASENT VIEW GARDENS,-76.60393474,39.29468906,ROW/TOWNHOUSE-OCC,1
2/1/2020,21:20:00,3B,2900 MC ELDERRY ST,ROBBERY - STREET,Inside,NA,221,SOUTHEAST,,-76.57650551,39.29802755,HOSP/NURS. HOME,1
2/1/2020,15:00:00,7A,3600 BOSTON ST,AUTO THEFT,Outside,NA,214,SOUTHEAST,CANTON INDUSTRIAL AREA,-76.566478,39.27728113,STREET,1
2/1/2020,0:00:00,5D,1000 BUNBURY WAY,BURGLARY,Outside,NA,433,NORTHEAST,ARMISTEAD GARDENS,-76.54857875,39.3051937,SHED/GARAGE,1
2/1/2020,9:00:00,6D,400 W PRATT ST,LARCENY FROM AUTO,,NA,113,CENTRAL,INNER HARBOR,-76.62079537,39.28619109,,1
2/1/2020,23:30:00,6F,200 S PULASKI ST,LARCENY,,NA,714,SOUTHWEST,CARROLLTON RIDGE,-76.65026037,39.29050936,,1
2/1/2020,21:15:00,4E,2900 WOODLAND AVE,COMMON ASSAULT,Inside,NA,532,NORTHERN,CYLBURN,-76.66661091,39.34671898,HOSP/NURS. HOME,1
2/1/2020,0:00:00,6D,100 E MOUNT ROYAL AVE,LARCENY FROM AUTO,,NA,134,CENTRAL,MID-TOWN BELVEDERE,-76.61450328,39.30567736,,1
2/1/2020,3:00:00,5D,3200 PULASKI HWY,BURGLARY,,NA,224,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.57271354,39.29569827,,1
2/1/2020,4:25:00,4E,1500 RUSSELL ST,COMMON ASSAULT,Inside,NA,941,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,-76.627596,39.27410808,OTHER - INSIDE,1
2/1/2020,17:00:00,4E,1300 WOODBOURNE AVE,COMMON ASSAULT,Inside,NA,523,NORTHERN,NEW NORTHWOOD,-76.59567351,39.35393298,OTHER - INSIDE,1
2/1/2020,16:45:00,4A,4100 BIDDISON LN,AGG. ASSAULT,Outside,FIREARM,426,NORTHEAST,WALTHERSON,-76.55379655,39.33743388,CEMETERY,1
2/1/2020,18:19:00,4B,5900 MORAVIA RD,AGG. ASSAULT,Outside,KNIFE,443,NORTHEAST,FRANKFORD,-76.54506355,39.31686246,GAS STATION,1
2/1/2020,16:12:00,3B,2500 MADISON AVE,ROBBERY - STREET,Outside,NA,133,CENTRAL,RESERVOIR HILL,-76.63878939,39.31350399,STREET,1
2/1/2020,23:28:00,4E,100 MARKET PL,COMMON ASSAULT,Outside,NA,112,CENTRAL,INNER HARBOR,-76.60690002,39.28757429,STREET,1
2/1/2020,23:28:00,4E,100 MARKET PL,COMMON ASSAULT,Outside,NA,112,CENTRAL,INNER HARBOR,-76.60690002,39.28757429,STREET,1
2/1/2020,19:30:00,6D,600 RAPPOLLA ST,LARCENY FROM AUTO,Outside,NA,233,SOUTHEAST,GREEKTOWN,-76.5529527,39.28585204,STREET,1
2/1/2020,17:25:00,6C,0 W BALTIMORE ST,LARCENY,Inside,NA,114,CENTRAL,DOWNTOWN,-76.61505067,39.28960475,OTHER - INSIDE,1
2/1/2020,19:30:00,4E,600 FALLSWAY,COMMON ASSAULT,Outside,NA,324,EASTERN,PEN-FALLSWAY,-76.61031834,39.29713485,STREET,1
2/1/2020,19:30:00,4E,600 FALLSWAY,COMMON ASSAULT,Outside,NA,324,EASTERN,PEN-FALLSWAY,-76.61031834,39.29713485,STREET,1
2/1/2020,18:00:00,5A,3700 MOUNT PLEASANT AVE,BURGLARY,Inside,NA,223,SOUTHEAST,BALTIMORE HIGHLANDS,-76.56617043,39.29089579,ROW/TOWNHOUSE-OCC,1
2/1/2020,21:30:00,6D,100 W MULBERRY ST,LARCENY FROM AUTO,Outside,NA,114,CENTRAL,DOWNTOWN,-76.61688811,39.29413333,STREET,1
2/1/2020,2:40:00,4B,AV & E 30TH ST,AGG. ASSAULT,Outside,KNIFE,513,NORTHERN,,-76.6094175,39.324348,STREET,1
2/1/2020,12:00:00,6G,6500 REISTERSTOWN RD,LARCENY,Inside,NA,631,NORTHWEST,REISTERSTOWN STATION,-76.70254869,39.35617645,RESTAURANT,1
2/1/2020,0:30:00,4E,700 S BROADWAY,COMMON ASSAULT,Inside,NA,213,SOUTHEAST,FELLS POINT,-76.59355364,39.2834456,BAR,1
